name,type,location,creators_rec,notes,sheet_name,address,rating,user_ratings_total,google_maps_link,lat,lng
Piccolo Forno,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"725 Columbus Ave, San Francisco, CA 94133, United States",4.7,1190,"https://www.google.com/maps/search/?api=1&query=725%20Columbus%20Ave,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJLeYyO_CAhYAR6j9XsEIm3GI",37.8013826,-122.4119778
La Note,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2377 Shattuck Ave., Berkeley, CA 94704, United States",4.4,1565,"https://www.google.com/maps/search/?api=1&query=2377%20Shattuck%20Ave.,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJB_-A0oJ-hYARwmbyJJR3sUo",37.866206,-122.267249
Freehouse,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1325 NE Fremont St, Portland, OR 97212, United States",4.5,133,"https://www.google.com/maps/search/?api=1&query=1325%20NE%20Fremont%20St,%20Portland,%20OR%2097212,%20United%20States&query_place_id=ChIJrV-5VTqnlVQRdQee_8SqfwI",45.5483431,-122.6522457
Cafe Reveille,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"610 Long Bridge Street, San Francisco, CA 94158, United States",4.4,725,"https://www.google.com/maps/search/?api=1&query=610%20Long%20Bridge%20Street,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJrYVUEYCAhYARweDb0BL63f0",37.7735205,-122.3916911
Lazy Dog,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2208 Bridgepointe Pkwy, San Mateo, CA 94404, United States",4.2,462,"https://www.google.com/maps/search/?api=1&query=2208%20Bridgepointe%20Pkwy,%20San%20Mateo,%20CA%2094404,%20United%20States&query_place_id=ChIJUSuYArmfj4ARrq1hjNw2KwQ",37.560525,-122.283111
**Chez Panisse,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1517 Shattuck Ave., Berkeley, CA 94709, United States",4.6,1936,"https://www.google.com/maps/search/?api=1&query=1517%20Shattuck%20Ave.,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJcYtcJaF-hYAR-VzrwZpQY0E",37.879593,-122.2690371
Hog Island Oysters,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"Ferry Building, #11, San Francisco, CA 94111, United States",4.6,2695,"https://www.google.com/maps/search/?api=1&query=Ferry%20Building,%20#11,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJWTGPjmaAhYARgXpiJ-aACYM",37.7954425,-122.3936136
Sizzling Lunch,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"139 8th St, San Francisco, CA 94103, United States",4.1,187,"https://www.google.com/maps/search/?api=1&query=139%208th%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJYZp9LYOAhYAR-zYOp1qMPbE",37.7771586,-122.4126183
Bollywood Cafe,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1805 Euclid Ave, Berkeley, CA 94709, United States",4.5,63,"https://www.google.com/maps/search/?api=1&query=1805%20Euclid%20Ave,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJq8H9nml9hYARO2pGXW6_Tm8",37.8757904,-122.2601754
Raleigh,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,,,,,,
La Farine,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"3411 Fruitvale Ave, Oakland, CA 94602, United States",4.6,267,"https://www.google.com/maps/search/?api=1&query=3411%20Fruitvale%20Ave,%20Oakland,%20CA%2094602,%20United%20States&query_place_id=ChIJ1b3VuauHj4ARBVeVXFG50tA",37.799552,-122.2166126
Nabolom,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2708 Russell St, Berkeley, CA 94705, United States",4.7,289,"https://www.google.com/maps/search/?api=1&query=2708%20Russell%20St,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJo1PumM19hYARx4eP1QxtjSg",37.8583833,-122.2528287
Lucca Delicatessen,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2120 Chestnut St, San Francisco, CA 94123, United States",4.5,332,"https://www.google.com/maps/search/?api=1&query=2120%20Chestnut%20St,%20San%20Francisco,%20CA%2094123,%20United%20States&query_place_id=ChIJ01kH39aAhYARVLK3OOvDoAs",37.8006688,-122.438384
Viks Chaat,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2390 Fourth St, Berkeley, CA 94710, United States",4.2,3676,"https://www.google.com/maps/search/?api=1&query=2390%20Fourth%20St,%20Berkeley,%20CA%2094710,%20United%20States&query_place_id=ChIJfbzMc-h-hYARG3cEXmb1XRU",37.8614004,-122.2980248
Acme Bread,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"Ferry Building, San Francisco Bay Trail UNIT 15, San Francisco, CA 94111, United States",4.6,266,"https://www.google.com/maps/search/?api=1&query=Ferry%20Building,%20San%20Francisco%20Bay%20Trail%20UNIT%2015,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJWTGPjmaAhYARUBlHM0tcCLk",37.7957389,-122.3936458
**Cheeseboard,Restaurant,San Francisco Bay Area,Yes,Worker-owned and operated pizza place with vegan ingredients and a new veggie-based set of toppings each day. One of Berkeley's landmarks and hugely influential in food movements.,Dea - Bay Area,"2535 3rd St, San Francisco, CA 94107, United States",4.6,150,"https://www.google.com/maps/search/?api=1&query=2535%203rd%20St,%20San%20Francisco,%20CA%2094107,%20United%20States&query_place_id=ChIJc8cnWf2BhYAR5ou_qwWKJtc",37.7572128,-122.3879197
B Patisserie,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2821 California St, San Francisco, CA 94115, United States",4.7,2325,"https://www.google.com/maps/search/?api=1&query=2821%20California%20St,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJ59WgYcmAhYARu5gLD0FVpw4",37.7878941,-122.4408515
Brenda's Meat and Three,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"919 Divisadero St, San Francisco, CA 94115, United States",4.6,1843,"https://www.google.com/maps/search/?api=1&query=919%20Divisadero%20St,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJBZ2nB7GAhYAR1BUmlCHczaw",37.7781721,-122.4387208
Third Culture Bakery,Restaurant,San Francisco Bay Area,Yes,Mochi donuts! Can't go wrong with any flavor since they'll always be the perfect mix of chewy and crunchy.,Dea - Bay Area,"549 Irving St, San Francisco, CA 94122, United States",4.4,30,"https://www.google.com/maps/search/?api=1&query=549%20Irving%20St,%20San%20Francisco,%20CA%2094122,%20United%20States&query_place_id=ChIJHRvXC1yHhYAR1IP3O4Ekd-0",37.7640331,-122.4639095
La Marcha Tapas Bar,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2026 San Pablo Ave, Berkeley, CA 94702, United States",4.4,951,"https://www.google.com/maps/search/?api=1&query=2026%20San%20Pablo%20Ave,%20Berkeley,%20CA%2094702,%20United%20States&query_place_id=ChIJZSVa58F-hYAR9fvuy-pr6Rg",37.8686448,-122.2921893
Breadbelly,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1408 Clement St, San Francisco, CA 94118, United States",4.7,371,"https://www.google.com/maps/search/?api=1&query=1408%20Clement%20St,%20San%20Francisco,%20CA%2094118,%20United%20States&query_place_id=ChIJ06Hh75aHhYARre2ZXOUDzXY",37.7826278,-122.4743735
Cinderella,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"436 Balboa St, San Francisco, CA 94118, United States",4.7,2249,"https://www.google.com/maps/search/?api=1&query=436%20Balboa%20St,%20San%20Francisco,%20CA%2094118,%20United%20States&query_place_id=ChIJG6DZVEeHhYARN90v8rBlRsY",37.7773724,-122.4636784
**Oma San Francisco Station,Restaurant,San Francisco Bay Area,Yes,Omakase spot hidden at the edge of a Japantown mall. Relatively affordable and amazing sushi and service.,Dea - Bay Area,"1737 Post St #337, San Francisco, CA 94115, United States",4.6,160,"https://www.google.com/maps/search/?api=1&query=1737%20Post%20St%20#337,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJwbERTIWBhYARsQKbK5ikRuk",37.784985,-122.4310234
The Anchovy Bar,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1740 O'Farrell St, San Francisco, CA 94115, United States",4.6,206,"https://www.google.com/maps/search/?api=1&query=1740%20O'Farrell%20St,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJN1jrY56BhYAROCDrviZM73k",37.7834015,-122.4332076
Shawarmaji,Restaurant,San Francisco Bay Area,Yes,,Dea - Bay Area,"2123 Franklin St, Oakland, CA 94612, United States",4.5,546,"https://www.google.com/maps/search/?api=1&query=2123%20Franklin%20St,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJ06KARiyBj4ARJmSJSSDm0W4",37.8103351,-122.2668096
Kingpin Donuts,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2521 Durant Ave A, Berkeley, CA 94704, United States",4.2,226,"https://www.google.com/maps/search/?api=1&query=2521%20Durant%20Ave%20A,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJpSV9Ey98hYARmVjcU0lZSSA",37.8680712,-122.2579599
Mama Oakland,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"388 Grand Ave, Oakland, CA 94610, United States",4.7,279,"https://www.google.com/maps/search/?api=1&query=388%20Grand%20Ave,%20Oakland,%20CA%2094610,%20United%20States&query_place_id=ChIJP3byt5iHj4ARj2K4nYYLMco",37.8090835,-122.2545103
Cupcakin Bake Shop,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"7 Warriors Way, San Francisco, CA 94158, United States",4.8,6,"https://www.google.com/maps/search/?api=1&query=7%20Warriors%20Way,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJdWSDc3R_j4AR1aAzp4m8HEs",37.7687395,-122.3876826
Poke Bowl,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1700 Owens St, San Francisco, CA 94158, United States",4.2,45,"https://www.google.com/maps/search/?api=1&query=1700%20Owens%20St,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJjTdE6c5_j4ARk4XdBy8mJ_4",37.7670806,-122.3939234
Bob Donuts,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1621 Polk St, San Francisco, CA 94109, United States",4.6,3461,"https://www.google.com/maps/search/?api=1&query=1621%20Polk%20St,%20San%20Francisco,%20CA%2094109,%20United%20States&query_place_id=ChIJj-FdH-uAhYARIp6mvqK3HNM",37.7918782,-122.4211769
Saul's Deli,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1475 Shattuck Ave., Berkeley, CA 94709, United States",4.5,1774,"https://www.google.com/maps/search/?api=1&query=1475%20Shattuck%20Ave.,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJgcIf0KZ-hYAR_yowREPdtsY",37.8806714,-122.2690485
Arizmendi,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1331 9th Ave, San Francisco, CA 94122, United States",4.7,1592,"https://www.google.com/maps/search/?api=1&query=1331%209th%20Ave,%20San%20Francisco,%20CA%2094122,%20United%20States&query_place_id=ChIJMdUfNVyHhYAR7pvCohDZC70",37.7634047,-122.466442
Fish and Bird Sousaku Izakaya,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2451 Shattuck Ave., Berkeley, CA 94704, United States",4.3,262,"https://www.google.com/maps/search/?api=1&query=2451%20Shattuck%20Ave.,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJSVtssxl_hYAR2l6XqAe_ylA",37.8648104,-122.2671991
Rick and Ann's,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2922 Domingo Ave, Berkeley, CA 94705, United States",4.5,667,"https://www.google.com/maps/search/?api=1&query=2922%20Domingo%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJ4RFe8sl9hYARBEIC4MggivE",37.8585403,-122.2440731
Stuffed Inn,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1829 Euclid Ave, Berkeley, CA 94709, United States",4.7,110,"https://www.google.com/maps/search/?api=1&query=1829%20Euclid%20Ave,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJ9U42fyF8hYARObpahg-fyAI",37.8756801,-122.2601326
Takoyaki Yamachan,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1737 Post St STE395, San Francisco, CA 94115, United States",4.4,96,"https://www.google.com/maps/search/?api=1&query=1737%20Post%20St%20STE395,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJsw58pmiBhYARl8AD1CNFAyw",37.785076,-122.4305494
**Mochill Mochi Donuts,Restaurant,San Francisco Bay Area,Yes,Very crave-inducing mochi donut spot. My favorite is the black sesame which is a great mix of chewy-ness and flowery-looking donut.,Dea - Bay Area,"1737 Post St STE395, San Francisco, CA 94115, United States",4.6,310,"https://www.google.com/maps/search/?api=1&query=1737%20Post%20St%20STE395,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJYTeHK0SBhYARyEEvKzjrBl8",37.7850952,-122.4305392
Daily Driver,Restaurant,San Francisco Bay Area,Yes,Bagel shop that gets creative with its recipes: I got the goat cheese and honey cinammon raising bagel and enjoyed it in their airy space in the Dogpatch.,Dea - Bay Area,"2535 3rd St, San Francisco, CA 94107, United States",4.2,319,"https://www.google.com/maps/search/?api=1&query=2535%203rd%20St,%20San%20Francisco,%20CA%2094107,%20United%20States&query_place_id=ChIJbTcNCG9_j4AR8ezdnQGFXHo",37.7573474,-122.38801
Mochinut Donut,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2126 Irving St, San Francisco, CA 94122, United States",4.2,34,"https://www.google.com/maps/search/?api=1&query=2126%20Irving%20St,%20San%20Francisco,%20CA%2094122,%20United%20States&query_place_id=ChIJAT2lGU2HhYARfiropqNEhd8",37.7635704,-122.4808069
Imm Thai,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2068 University Ave, Berkeley, CA 94704, United States",4.5,1206,"https://www.google.com/maps/search/?api=1&query=2068%20University%20Ave,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJYx5P7J5-hYARctvMDW_ZVF8",37.8719079,-122.2691186
Reem's California Mission,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2901 Mission St, San Francisco, CA 94110, United States",4.4,174,"https://www.google.com/maps/search/?api=1&query=2901%20Mission%20St,%20San%20Francisco,%20CA%2094110,%20United%20States&query_place_id=ChIJo5ZK6U1_j4ARzzvu7N7rK5I",37.7505546,-122.4179873
El Porteno,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"Ferry Building Marketplace 1 Ferry Building 53, San Francisco, CA 94111, United States",4.3,364,"https://www.google.com/maps/search/?api=1&query=Ferry%20Building%20Marketplace%201%20Ferry%20Building%2053,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJuQFUy02Aj4ARoaOaNCQq7Oc",37.7955703,-122.3933208
Coffee Lab,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"601 Mission Bay Boulevard North, San Francisco, CA 94158, United States",4.7,260,"https://www.google.com/maps/search/?api=1&query=601%20Mission%20Bay%20Boulevard%20North,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJUcfd3c9_j4ARYgUQAMZQBxs",37.7708621,-122.3913901
La Coqueta,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"Pier 5 The Embarcadero, San Francisco, CA 94111, United States",4.4,2200,"https://www.google.com/maps/search/?api=1&query=Pier%205%20The%20Embarcadero,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJA8_SN2eAhYARCIvEx44Zvfw",37.7985824,-122.3966387
La Mar Cebicheria Peruana,Restaurant,San Francisco Bay Area,Yes,"Famous Peruvian spot, with some of the best nigiri I've had. Very fresh and tasty, and a great balcony area overlooking the Bay Bridge and Embarcadero.",Dea - Bay Area,"PIER 1 1/2 The Embarcadero N, San Francisco, CA 94105, United States",4.5,3696,"https://www.google.com/maps/search/?api=1&query=PIER%201%201/2%20The%20Embarcadero%20N,%20San%20Francisco,%20CA%2094105,%20United%20States&query_place_id=ChIJURDKN2eAhYARN0AMzUEaiKo",37.7971425,-122.3953713
Top Dog,Restaurant,San Francisco Bay Area,Yes,"Simple hot dog spot a block and a half from UC Berkeley's campus. The perfectly simple recipe of a bun, hot dog and mustard served in a place that has been there since 1966.",Dea - Bay Area,"2121 Taraval St, San Francisco, CA 94116, United States",5,51,"https://www.google.com/maps/search/?api=1&query=2121%20Taraval%20St,%20San%20Francisco,%20CA%2094116,%20United%20States&query_place_id=ChIJS9lZoH19j4ARDWUbCMQ91og",37.7422717,-122.4889004
California Fish Market,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"550 Green St, San Francisco, CA 94133, United States",4.6,253,"https://www.google.com/maps/search/?api=1&query=550%20Green%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJXdi5oueBhYARBjI45xUkjDw",37.7997326,-122.4082666
Besharam,Restaurant,San Francisco Bay Area,Yes,"Great Gujarati cuisine with menu sections named after cities: for me, Khaman (lentil cake with coconut chutney) and their house-made cocktails were the hightlight of the experience.",Dea - Bay Area,"1275 Minnesota St, San Francisco, CA 94107, United States",4.3,440,"https://www.google.com/maps/search/?api=1&query=1275%20Minnesota%20St,%20San%20Francisco,%20CA%2094107,%20United%20States&query_place_id=ChIJpVAZ4wx_j4AR4j8Q0COpGHc",37.7541896,-122.3897345
Pier Market Seafood Restaurant,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"39 Pier 39, San Francisco, CA 94133, United States",4.4,6218,"https://www.google.com/maps/search/?api=1&query=39%20Pier%2039,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJHSGzi_yAhYAR9CGTkz3GiJ0",37.809932,-122.4105757
Hillstone,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1800 Montgomery St, San Francisco, CA 94111, United States",4.4,1754,"https://www.google.com/maps/search/?api=1&query=1800%20Montgomery%20St,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJ3a33xfmAhYAR5tbOg8ouvf8",37.805984,-122.405143
Joyride Pizza,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"411 Valencia St, San Francisco, CA 94103, United States",4.1,255,"https://www.google.com/maps/search/?api=1&query=411%20Valencia%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJG6XOLiJ-j4ARwnJDDxPKAs8",37.7663153,-122.4218344
Zachary's Chicago Pizza,Restaurant,San Francisco Bay Area,Yes,"Local legend pizza place that serves Chicago-style pizza with yummy stuffings. Once the pizza is ready, the friendly staff will offer to serve you the first piece. The spinach and mushroom  is a classic!",Dea - Bay Area,"1853 Solano Ave, Berkeley, CA 94707, United States",4.6,1723,"https://www.google.com/maps/search/?api=1&query=1853%20Solano%20Ave,%20Berkeley,%20CA%2094707,%20United%20States&query_place_id=ChIJM7ZMM015hYARTF7hu0UXeZY",37.8915426,-122.2785885
Ralph's,Coffee,,,"Interesting experience in this Ralph Lauren coffee shop. The decor was fancier than the coffee, but still not your usual drink.",Dea - NYC + DC + NJ,,,,,,
Cafe Grumpy,Coffee,,,Cute spot in a Whole Foods (convenient). The espresso was pretty good as well!,Dea - NYC + DC + NJ,,,,,,
%Arabica,Coffee,,,Great coffee in an awesome location: get your coffee to go and walk over to the park overlooking the Manhattan skyline.,Dea - NYC + DC + NJ,,,,,,
Black Fox Coffee,Coffee,,Yes,"Fave NYC coffee spot! Singular attention to making very high quality coffee drinks provides for some of the best espresso I've had. Checkout one of their three spots around New York, but I recommend their Pine Street flagship.",Dea - NYC + DC + NJ,,,,,,
Cafe Patoro,Coffee,,Yes,"Quaint shop in the Front Street historical district. You'll enjoy the calm atmosphere if you like a cozy spot to read, write or meet up with the shop's regulars. Also pretty good coffee is a bonus.",Dea - NYC + DC + NJ,,,,,,
Coffee Project,Coffee,,,Deconstructed coffees are the star of the show at this small coffee shop. Give it a try for a different and revealing coffee experience in which your typical latte with come as 3 separate cups.,Dea - NYC + DC + NJ,,,,,,
Cortaditos,Coffee,,,Cuban coffee shop with lively decor and music. Get one of their signature drinks and enjoy the happy atmosphere.,Dea - NYC + DC + NJ,,,,,,
Joe Coffee Company,Coffee,,Yes,Coffee kiosk in Bryant Park. My recommendation is to get a coffee and drink it slowly taking in the sounds and sights of the city seeping in at the edges of this urban park.,Dea - NYC + DC + NJ,,,,,,
Hungry Ghost,Coffee,,Yes,"Their Fulton St Brooklyn location makes for a nice neighbor-ly coffee experience. My recommendation: take your drink to go and walk around the street lined with bookstores and cafes, a nice getaway from the bustle of Manhattan visible from the distance.",Dea - NYC + DC + NJ,,,,,,
Devocion,Coffee,,,Some of the best coffee in NYC: at their Brooklyn location you can enjoy a glass-roofed coffee room with stage-like seating.,Dea - NYC + DC + NJ,,,,,,
Lillo Cucina Italiana,Restaurant,,Yes,Tiny cash-only pasta spot with only a handful of tables. Can't go wrong with any of the dishes and the Italian decor and the friendliness of the people dining creates a heart-warming food atmosphere!,Dea - NYC + DC + NJ,,,,,,
YUBU,Restaurant,,Yes,Innovative food items in this casual Korean spot: get a set of their 3 sushi-like small eats. I recommend the salmon and spicy tuna.,Dea - NYC + DC + NJ,,,,,,
L'Industrie,Pizza,,,NYC style pizza at its best. The burrata and truffle slices are a must if you ask me and the lines are worth it for these slices.,Dea - NYC + DC + NJ,,,,,,
Sam's Falafel,Food Truck,,Yes,"Giant falafel sandwich that will leave you full for the rest of the day, definitely worth it! Staff is passionate and friendly, but I recommend taking the sandwich and walking over to the Hudson river and enjoy it watching the ships.",Dea - NYC + DC + NJ,,,,,,
Leo's Bagel,Bagel,,,Great bagel spot in the Wall Street area: get one of their special bagels (I recommend the avocado and bacon). Simple but very filling!,Dea - NYC + DC + NJ,,,,,,
Van Leeuwen Ice Cream,Ice-cream,,,"Funky (always appreciated) flavors. I recommend their seasonal specials, the passion fruit was colorful and very tasty.",Dea - NYC + DC + NJ,,,,,,
Pita Yeero,Food Truck,,,Greek kiosk in an indoor food court: get the chicken gyro. Yummy!,Dea - NYC + DC + NJ,,,,,,
Orale! Mexican Kitchen,Restaurant,,Yes,"I've only ever ordered takeout from this Mexican spot, but the battered fish tacos and their rice side dish is something I go back to week after week.",Dea - NYC + DC + NJ,,,,,,
Khiladi NYC,Restaurant,,,"Great dosa, I recommend the ""everything"" filling with cheese, potatoes and lentils.",Dea - NYC + DC + NJ,,,,,,
Mariscos El Submarino,Restaurant,,,Fish tacos in this small but very busy Queens Mexican restaurant.,Dea - NYC + DC + NJ,,,,,,
